league,season,team,player_name,nation,position,age,date_of_birth,Playing Time_MP,Playing Time_Starts,minutes,Playing Time_90s,goals,assists,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,yellow_cards,red_cards,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,np_xg,xg,xa,np_goals,key_passes,xg_chain,xg_buildup,key_passes_per90,def_actions_per90,standard_position,position_source,is_official,data_completeness
Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17.0,2007.0,26,11,895,9.9,4,2,6,4,0,0,1,0,0.4,0.2,0.6,0.4,0.6,1.7757814601063728,1.7757814601063728,1.1617773352190852,4,16,4.733230505138636,2.751387098804116,1.6089385474860334,0.0,Winger,heuristic,True,1.0
Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21.0,2003.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0947556942701339,0.0947556942701339,0.0,0,0,0.0947556942701339,0.0,0.0,0.0,Winger,heuristic,False,1.0
Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",21.0,2003.0,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0354386642575264,0.0354386642575264,0.2688065897673368,0,3,1.4220801051706076,1.2403724566102028,0.8490566037735848,0.0,AM,heuristic,False,1.0
Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20.0,2003.0,20,4,638,7.1,7,0,7,7,0,0,3,1,0.99,0.0,0.99,0.99,0.99,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,Winger,heuristic,True,1.0
Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20.0,2004.0,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0650692656636238,0.0650692656636238,0.1753242537379264,0,2,1.8142753783613443,1.5738818291574717,0.37815126050420167,0.0,AM,heuristic,False,1.0
Premier League,2425,Bournemouth,Alex Scott,ENG,MF,20.0,2003.0,20,8,755,8.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.7000175742432475,0.7000175742432475,1.2158988821320236,0,12,3.5423473911359906,1.8692646883428097,1.4304635761589404,0.0,AM,heuristic,True,1.0
Premier League,2425,Bournemouth,Ben Winterburn,ENG,MF,19.0,2004.0,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0161151830106973,0.0161151830106973,0.0,0.0,CM,heuristic,False,1.0
Premier League,2425,Bournemouth,Daniel Jebbison,CAN,FW,20.0,2003.0,16,0,119,1.3,1,0,1,1,0,0,1,0,0.76,0.0,0.76,0.76,0.76,1.7295908629894257,1.7295908629894257,0.2071749344468116,1,3,2.19595605134964,0.2896595001220703,2.26890756302521,0.0,Winger,heuristic,False,1.0
Premier League,2425,Bournemouth,Remy Rees-Dottin,ENG,FW,18.0,2006.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,Winger,heuristic,False,1.0
Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,MF,19.0,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,CM,heuristic,False,1.0
