league,season,team,player_name,nation_,position,age,date_of_birth,Playing Time_MP,Playing Time_Starts,minutes,Playing Time_90s,goals,assists,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,yellow_cards,red_cards,xg,Expected_npxG,xa,Expected_npxG+xAG,progressive_carries,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,90s_,Expected_G-xG,Expected_np:G-xG,Expected_npxG/Sh,Standard_Dist,Standard_FK,Standard_G/Sh,Standard_G/SoT,Standard_Gls,Standard_PK,Standard_PKatt,shots,Standard_Sh/90,Standard_SoT,Standard_SoT%,Standard_SoT/90,1/3_,Ast_,CrsPA_,Expected_A-xAG,Expected_xA,key_passes,Long_Att,Long_Cmp,Long_Cmp%,Medium_Att,Medium_Cmp,Medium_Cmp%,PPA_,PrgP_,Short_Att,Short_Cmp,Short_Cmp%,Total_Att,passes,Total_Cmp%,Total_PrgDist,Total_TotDist,xAG_,Att_,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Blocks,Outcomes_Cmp,Outcomes_Off,Pass Types_CK,Pass Types_Crs,Pass Types_Dead,Pass Types_FK,Pass Types_Live,Pass Types_Sw,Pass Types_TB,Pass Types_TI,GCA Types_Def,GCA Types_Fld,GCA Types_PassDead,GCA Types_PassLive,GCA Types_Sh,GCA Types_TO,GCA_GCA,GCA_GCA90,SCA Types_Def,SCA Types_Fld,SCA Types_PassDead,SCA Types_PassLive,SCA Types_Sh,SCA Types_TO,shot_creating_actions,SCA_SCA90,Blocks_Blocks,Blocks_Pass,Blocks_Sh,Challenges_Att,Challenges_Lost,Challenges_Tkl,Challenges_Tkl%,Clr_,Err_,interceptions,Tackles_Att 3rd,Tackles_Def 3rd,Tackles_Mid 3rd,tackles,Tackles_TklW,Tkl+Int_,Carries_1/3,Carries_CPA,Carries_Carries,Carries_Dis,Carries_Mis,Carries_PrgC,Carries_PrgDist,Carries_TotDist,Receiving_PrgR,Receiving_Rec,dribbles,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Touches_Att 3rd,Touches_Att Pen,Touches_Def 3rd,Touches_Def Pen,Touches_Live,Touches_Mid 3rd,Touches_Touches,Playing Time_Min%,Playing Time_Mn/MP,Starts_Compl,Starts_Mn/Start,Starts_Starts,Subs_Mn/Sub,Subs_Subs,Subs_unSub,Team Success (xG)_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success_PPM,Team Success_onG,Team Success_onGA,Aerial Duels_Lost,Aerial Duels_Won,Aerial Duels_Won%,Performance_2CrdY,Performance_Crs,Performance_Fld,Performance_Fls,Performance_Int,Performance_OG,Performance_Off,Performance_PKcon,Performance_PKwon,Performance_Recov,Performance_TklW,tm_sub_position,height,market_value,weight,fifa_overall,fifa_potential,key_passes_per90,def_actions_per90,standard_position,position_source,is_official,data_completeness,goals_per90,assists_per90,shots_per90,dribbles_per90,passes_per90,tackles_per90,interceptions_per90,yellow_cards_per90,red_cards_per90,xg_per90,xa_per90,progressive_carries_per90,shot_creating_actions_per90,age_score,reliability_score,core_performance,behavior_score,league_score,risk_penalty,total_score
Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17.0,2007.0,26,11,895,"9,9",4,2,6,4,0,0,1,0,"1,2","1,2","1,2","2,4",46.0,33.0,113.0,"0,4","0,2","0,6","0,4","0,6","0,12","0,12","0,24","0,12","0,24","9,9","2,8","2,8","0,05","18,5",1.0,"0,17","0,44",4,0,0,24.0,"2,41",9,"37,5","0,91",17.0,2,6.0,"0,8","1,8",16.0,37.0,19.0,"51,4",121.0,93.0,"76,9",16.0,33.0,234.0,216.0,"92,3",425.0,342.0,"80,5",1216.0,4906.0,"1,2",425.0,18.0,0.0,0.0,14.0,342.0,3.0,27.0,54.0,36.0,3.0,386.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,"0,3",0.0,1.0,6.0,15.0,2.0,5.0,29.0,"2,91",8.0,6.0,2.0,21.0,14.0,7.0,"33,3",4.0,1.0,2.0,3.0,4.0,4.0,11.0,7.0,13.0,25.0,17.0,365.0,17.0,23.0,46.0,1329.0,2852.0,113.0,398.0,62.0,37.0,"59,7",19.0,"30,6",339.0,44.0,44.0,3.0,544.0,167.0,544.0,"26,2",34,1.0,65.0,11,12.0,15,10,"0,33","14,5","5,4","9,1","0,91",12.0,"1,21","0,39","1,85",16.0,4.0,8.0,4.0,"33,3",0.0,54.0,5.0,9,2.0,0.0,6.0,0.0,0.0,34.0,7.0,Attacking Midfield,176.0,35000000.0,70.0,75.0,87.0,1.6089385474860334,1.3072625698324023,AM,transfermarkt,True,1.0,0.40223463687150834,0.20111731843575417,2.4134078212290504,6.234636871508379,34.391061452513966,1.1061452513966479,0.20111731843575417,0.10055865921787709,0.0,0.0,0.0,4.625698324022347,2.916201117318436,86.66666666666667,60.535714285714285,67.43589743589745,100.0,100.0,-3.0,74.42651098901099
Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17.0,2006.0,23,15,1369,"15,2",1,0,1,1,0,0,3,2,"0,2","0,2","0,4","0,6",37.0,71.0,37.0,"0,07",0,"0,07","0,07","0,07","0,01","0,03","0,04","0,01","0,04","15,2","0,8","0,8","0,05","14,7",0.0,"0,33",1,1,0,0,3.0,"0,2",1,"33,3","0,07",66.0,0,2.0,"-0,4","0,5",8.0,24.0,14.0,"58,3",317.0,291.0,"91,8",10.0,71.0,410.0,394.0,"96,1",776.0,708.0,"91,2",2307.0,10525.0,"0,4",776.0,0.0,0.0,0.0,2.0,708.0,5.0,0.0,10.0,111.0,17.0,660.0,2.0,3.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.0,21.0,1.0,1.0,29.0,"1,91",4.0,3.0,1.0,11.0,1.0,10.0,"90,9",27.0,0.0,7.0,3.0,10.0,9.0,22.0,14.0,29.0,26.0,7.0,526.0,9.0,13.0,37.0,1663.0,2692.0,37.0,616.0,28.0,12.0,"42,9",9.0,"32,1",265.0,17.0,178.0,28.0,905.0,476.0,905.0,40,60,7.0,80.0,15,20.0,8,9,"-0,47","21,8","15,9",6,"0,39",10.0,"0,66","-0,44","1,96",26.0,16.0,10.0,11.0,"52,4",0.0,10.0,47.0,11,7.0,0.0,0.0,1.0,0.0,53.0,14.0,Central Midfield,178.0,45000000.0,72.0,73.0,85.0,0.5259313367421475,1.906501095690285,CM,transfermarkt,True,1.0,0.06574141709276844,0.0,0.19722425127830534,1.8407596785975167,46.54492330168006,1.4463111760409055,0.46018991964937916,0.19722425127830534,0.13148283418553688,0.0,0.0,2.4324324324324325,1.906501095690285,86.66666666666667,77.46428571428571,56.42857142857143,97.52411417322834,100.0,-3.0,71.64111712598425
Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21.0,2003.0,1,0,7,"0,1",0,0,0,0,0,0,0,0,"0,1","0,1",0,"0,1",0.0,0.0,0.0,0,0,0,0,0,"0,94",0,"0,94","0,94","0,94","0,1","-0,1","-0,1","0,07","15,6",0.0,0,0,0,0,0,1.0,"12,86",1,100,"12,86",0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,"0,2",7,0.0,,0,7.0,1,13,"2,43","0,3",0,"0,2","3,09",1.0,"12,86","11,96",3,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Centre-Forward,177.0,800000.0,,,,0.0,0.0,Winger,heuristic,False,1.0,0.0,0.0,12.857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,28.82142857142857,34.337349397590366,77.5,100.0,-3.0,47.400021514629955
Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",21.0,2003.0,7,5,318,"3,5",0,0,0,0,0,0,0,0,0,0,"0,2","0,2",26.0,15.0,28.0,0,0,0,0,0,"0,01","0,05","0,06","0,01","0,06","3,5",0,0,"0,02","26,6",0.0,0,,0,0,0,2.0,"0,57",0,0,0,9.0,0,5.0,"-0,2","0,4",3.0,13.0,7.0,"53,8",82.0,74.0,"90,2",8.0,15.0,96.0,89.0,"92,7",201.0,174.0,"86,6",577.0,2725.0,"0,2",201.0,0.0,0.0,0.0,5.0,174.0,0.0,0.0,18.0,25.0,0.0,176.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,"0,85",2.0,2.0,0.0,8.0,4.0,4.0,50,10.0,2.0,2.0,1.0,5.0,3.0,9.0,5.0,11.0,13.0,2.0,159.0,6.0,10.0,26.0,673.0,1262.0,28.0,168.0,18.0,5.0,"27,8",12.0,"66,7",112.0,2.0,38.0,8.0,256.0,108.0,256.0,"9,3",45,1.0,58.0,5,14.0,2,9,"-0,41","5,8","6,6","-0,7","-0,21",2.0,"0,57","0,42","1,57",7.0,5.0,6.0,0.0,0,0.0,18.0,0.0,1,2.0,0.0,0.0,0.0,0.0,15.0,5.0,Right-Back,185.0,6000000.0,82.0,73.0,82.0,0.8490566037735848,3.1132075471698113,DM,heuristic,False,1.0,0.0,0.0,0.5660377358490566,5.09433962264151,49.24528301886792,2.547169811320755,0.5660377358490566,0.0,0.0,0.0,0.0,7.3584905660377355,0.8490566037735848,60.0,39.92857142857143,52.66447368421053,100.0,100.0,-3.0,60.688298872180454
Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20.0,2003.0,20,4,638,"7,1",7,0,7,7,0,0,3,1,"4,9","4,9","0,2","5,1",7.0,13.0,44.0,"0,99",0,"0,99","0,99","0,99","0,69","0,03","0,71","0,69","0,71","7,1","2,1","2,1","0,16","15,6",0.0,"0,23","0,47",7,0,0,31.0,"4,37",15,"48,4","2,12",10.0,0,0.0,"-0,2","0,3",4.0,11.0,5.0,"45,5",50.0,34.0,68,1.0,13.0,84.0,68.0,81,163.0,115.0,"70,6",307.0,1558.0,"0,2",163.0,0.0,0.0,0.0,4.0,115.0,1.0,0.0,3.0,7.0,0.0,155.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"0,14",2.0,3.0,0.0,9.0,4.0,0.0,18.0,"2,54",5.0,5.0,0.0,4.0,3.0,1.0,25,13.0,0.0,0.0,5.0,1.0,2.0,8.0,7.0,8.0,7.0,2.0,133.0,15.0,16.0,7.0,267.0,535.0,44.0,192.0,14.0,3.0,"21,4",9.0,"64,3",122.0,47.0,36.0,13.0,263.0,110.0,263.0,"18,7",32,0.0,60.0,4,25.0,16,1,"-0,28","9,2","9,7","-0,5","-0,07",0.0,0,"-0,23","1,5",12.0,12.0,19.0,19.0,50,0.0,3.0,15.0,14,0.0,0.0,5.0,0.0,0.0,19.0,7.0,,,,70.0,65.0,81.0,0.5642633228840125,1.128526645768025,Winger,heuristic,True,1.0,0.987460815047022,0.0,4.373040752351097,1.974921630094044,16.22257053291536,1.128526645768025,0.0,0.42319749216300945,0.14106583072100312,0.0,0.0,0.987460815047022,2.5391849529780566,66.66666666666666,51.357142857142854,54.86947791164659,85.76443569553805,100.0,-6.0,59.2595018431431
Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20.0,2004.0,8,5,476,"5,3",0,0,0,0,0,0,2,0,0,0,"0,1","0,2",12.0,14.0,9.0,0,0,0,0,0,"0,01","0,02","0,03","0,01","0,03","5,3",0,0,"0,04","20,2",0.0,0,0,0,0,0,1.0,"0,19",1,100,"0,19",24.0,0,0.0,"-0,1","0,1",2.0,9.0,3.0,"33,3",116.0,107.0,"92,2",1.0,14.0,139.0,129.0,"92,8",272.0,240.0,"88,2",1154.0,3682.0,"0,1",272.0,0.0,0.0,0.0,1.0,240.0,2.0,0.0,0.0,31.0,14.0,239.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"0,19",1.0,0.0,1.0,8.0,0.0,0.0,10.0,"1,89",5.0,2.0,3.0,16.0,6.0,10.0,"62,5",13.0,0.0,1.0,2.0,6.0,6.0,14.0,6.0,15.0,6.0,1.0,173.0,8.0,6.0,12.0,599.0,1031.0,9.0,212.0,4.0,2.0,50,1.0,25,40.0,4.0,95.0,16.0,325.0,191.0,325.0,"13,9",60,2.0,77.0,5,30.0,3,14,"-0,58","7,5","9,3","-1,8","-0,34",-1.0,"-0,19","-0,43","1,5",10.0,11.0,6.0,6.0,50,0.0,0.0,11.0,8,1.0,0.0,0.0,0.0,0.0,13.0,6.0,Defensive Midfield,185.0,18000000.0,70.0,70.0,77.0,0.37815126050420167,2.8361344537815123,DM,transfermarkt,False,1.0,0.0,0.0,0.18907563025210083,0.7563025210084033,45.3781512605042,2.6470588235294117,0.18907563025210083,0.37815126050420167,0.0,0.0,0.0,2.26890756302521,1.8907563025210086,66.66666666666666,45.57142857142857,44.440789473684205,99.50360892388453,100.0,-3.0,58.759610887454855
Premier League,2425,Bournemouth,Alex Scott,ENG,MF,20.0,2003.0,20,8,755,"8,4",0,0,0,0,0,0,3,0,"0,7","0,7","0,9","1,6",15.0,52.0,33.0,0,0,0,0,0,"0,09","0,11","0,19","0,09","0,19","8,4","-0,7","-0,7","0,05","21,1",1.0,0,0,0,0,0,15.0,"1,79",6,40,"0,72",41.0,0,1.0,"-0,9",1,12.0,35.0,20.0,"57,1",121.0,112.0,"92,6",5.0,52.0,159.0,142.0,"89,3",342.0,286.0,"83,6",1359.0,4583.0,"0,9",342.0,3.0,0.0,0.0,6.0,286.0,2.0,5.0,7.0,23.0,10.0,317.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,"0,24",3.0,3.0,2.0,19.0,2.0,0.0,29.0,"3,45",17.0,13.0,4.0,42.0,23.0,19.0,"45,2",15.0,0.0,10.0,8.0,11.0,8.0,27.0,14.0,37.0,10.0,3.0,247.0,8.0,23.0,15.0,663.0,1401.0,33.0,294.0,26.0,6.0,"23,1",13.0,50,144.0,18.0,90.0,24.0,485.0,257.0,485.0,"22,1",38,0.0,59.0,8,24.0,12,1,"-0,23",12,10,"1,9","0,23",2.0,"0,24","-0,1","1,35",10.0,8.0,7.0,7.0,50,0.0,7.0,26.0,17,10.0,0.0,0.0,0.0,0.0,52.0,14.0,Central Midfield,178.0,50000000.0,70.0,72.0,84.0,1.4304635761589404,4.410596026490066,CM,transfermarkt,True,1.0,0.0,0.0,1.7880794701986755,3.0993377483443707,34.09271523178808,3.218543046357616,1.1920529801324504,0.3576158940397351,0.0,0.0,0.0,1.7880794701986755,3.456953642384106,66.66666666666666,55.535714285714285,59.142857142857146,100.0,100.0,-3.0,66.94464285714285
Premier League,2425,Bournemouth,Ben Winterburn,ENG,"MF,FW",19.0,2004.0,4,0,24,"0,3",0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,"0,3",0,0,,,0.0,,,0,0,0,0.0,0,0,,0,0.0,0,0.0,0,0,0.0,0.0,0.0,,4.0,3.0,75,0.0,0.0,3.0,2.0,"66,7",7.0,5.0,"71,4",44.0,93.0,0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,2.0,40.0,50.0,2.0,6.0,0.0,0.0,,0.0,,2.0,1.0,2.0,0.0,9.0,5.0,9.0,"0,7",6,0.0,,0,6.0,4,16,"3,75","1,3","0,2","1,1","4,13",2.0,"7,5","7,23",2,2.0,0.0,0.0,1.0,100,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Defensive Midfield,185.0,450000.0,,,,0.0,7.5,DM,transfermarkt,False,1.0,0.0,0.0,0.0,0.0,18.75,0.0,7.5,0.0,0.0,0.0,0.0,7.5,0.0,73.33333333333334,29.42857142857143,48.7828947368421,100.0,100.0,-3.0,59.36658834586466
Premier League,2425,Bournemouth,Daniel Jebbison,CAN,FW,20.0,2003.0,16,0,119,"1,3",1,0,1,1,0,0,1,0,1,1,"0,2","1,2",4.0,3.0,16.0,"0,76",0,"0,76","0,76","0,76","0,75","0,15","0,9","0,75","0,9","1,3",0,0,"0,2","10,6",0.0,"0,2","0,5",1,0,0,5.0,"3,78",2,40,"1,51",1.0,0,0.0,"-0,2","0,1",3.0,2.0,1.0,50,5.0,3.0,60,1.0,3.0,23.0,21.0,"91,3",42.0,33.0,"78,6",44.0,361.0,"0,2",42.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,0.0,1.0,6.0,"4,54",2.0,1.0,1.0,6.0,2.0,4.0,"66,7",1.0,0.0,1.0,0.0,3.0,2.0,5.0,3.0,6.0,2.0,5.0,44.0,5.0,13.0,4.0,95.0,277.0,16.0,47.0,7.0,4.0,"57,1",3.0,"42,9",44.0,14.0,10.0,3.0,78.0,25.0,78.0,"3,5",7,0.0,,0,7.0,16,4,"0,74","3,5",2,"1,5","1,12",5.0,"3,78","3,59","1,25",7.0,2.0,10.0,2.0,"16,7",0.0,3.0,4.0,2,1.0,0.0,0.0,0.0,0.0,10.0,3.0,Centre-Forward,190.0,6000000.0,,,,2.26890756302521,4.53781512605042,Winger,heuristic,False,1.0,0.7563025210084033,0.0,3.781512605042017,5.294117647058823,24.95798319327731,3.781512605042017,0.7563025210084033,0.7563025210084033,0.0,0.7563025210084033,0.0,3.0252100840336134,4.53781512605042,66.66666666666666,32.82142857142857,78.42369477911646,100.0,100.0,-3.0,72.2138769363167
Premier League,2425,Bournemouth,Julio Soler,ARG,"DF,FW",19.0,2005.0,3,0,11,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,,,0.0,,,0,0,0,0.0,0,0,,0,0.0,0,0.0,0,0,0.0,0.0,0.0,,1.0,0.0,0,0.0,0.0,13.0,11.0,"84,6",14.0,11.0,"78,6",18.0,104.0,0,14.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,1.0,100,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0,8.0,30.0,2.0,14.0,0.0,0.0,,0.0,,8.0,0.0,3.0,0.0,17.0,6.0,17.0,"0,3",4,0.0,,0,4.0,3,10,"1,62","0,3","0,1","0,2","2,03",0.0,0,"-0,32",2,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Left-Back,175.0,8000000.0,,,,0.0,8.181818181818182,Winger,heuristic,False,1.0,0.0,0.0,0.0,0.0,90.0,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333333333334,28.964285714285715,21.23493975903614,98.60465879265091,100.0,-3.0,46.69106456760676
