rank,player_name,age,standard_position,team,league,minutes,total_score,core_performance,behavior_score,age_score,reliability_score,league_score,risk_penalty,data_completeness,market_value,height
1,Rayan Cherki,20.0,AM,Lyon,Ligue 1,2041,88.66153846153847,87.69230769230771,100.0,66.66666666666666,100.0,92.0,0.0,1.0,90000000.0,177.0
2,Florian Wirtz,21.0,AM,Leverkusen,Bundesliga,2351,87.35769230769232,86.79487179487181,100.0,60.0,100.0,93.0,0.0,1.0,100000000.0,177.0
3,Xavi Simons,21.0,AM,RB Leipzig,Bundesliga,2150,83.34807692307693,77.8846153846154,100.0,60.0,100.0,93.0,0.0,1.0,40000000.0,179.0
4,Arda Güler,19.0,AM,Real Madrid,La Liga,1250,83.33406593406595,82.11538461538463,100.0,73.33333333333334,73.21428571428572,94.0,0.0,1.0,90000000.0,175.0
5,Jamal Musiala,21.0,AM,Bayern Munich,Bundesliga,1798,82.35247252747253,78.0769230769231,100.0,60.0,92.78571428571428,93.0,0.0,1.0,100000000.0,184.0
6,Bilal El Khannouss,20.0,AM,Leicester City,Premier League,2182,77.17307692307693,60.384615384615394,100.0,66.66666666666666,100.0,100.0,0.0,1.0,35000000.0,180.0
7,Jude Bellingham,21.0,AM,Real Madrid,La Liga,2488,76.40961538461539,68.91025641025642,100.0,60.0,100.0,94.0,-3.0,1.0,130000000.0,186.0
8,Hákon Arnar Haraldsson,21.0,AM,Lille,Ligue 1,1755,76.39711538461539,65.5769230769231,100.0,60.0,91.25,92.0,0.0,1.0,25000000.0,178.0
9,Fermin López,21.0,AM,Barcelona,La Liga,1252,75.7486263736264,76.34615384615387,100.0,60.0,73.28571428571428,94.0,-3.0,1.0,100000000.0,174.0
10,Facundo Buonanotte,19.0,AM,Leicester City,Premier League,1523,75.24271978021979,59.55128205128205,100.0,73.33333333333334,82.96428571428572,100.0,0.0,1.0,12000000.0,174.0
