rank,player_name,age,standard_position,team,league,minutes,total_score,core_performance,behavior_score,age_score,reliability_score,league_score,risk_penalty,data_completeness,market_value,height
1,João Neves,19.0,CM,Paris S-G,Ligue 1,1844,83.82142857142857,76.57142857142857,100.0,73.33333333333334,94.42857142857143,92.0,0.0,1.0,140000000.0,171.0
2,Pedri,21.0,CM,Barcelona,La Liga,2879,81.67857142857143,73.95238095238095,100.0,60.0,100.0,94.0,0.0,1.0,150000000.0,174.0
3,Tom Bischof,19.0,CM,Hoffenheim,Bundesliga,2559,81.56428571428572,69.47619047619048,100.0,73.33333333333334,100.0,93.0,0.0,1.0,40000000.0,176.0
4,Warren Zaïre-Emery,18.0,CM,Paris S-G,Ligue 1,2050,81.2,66.66666666666667,100.0,80.0,100.0,92.0,0.0,1.0,80000000.0,176.0
5,Yasin Ayari,20.0,CM,Brighton,Premier League,1965,77.17678571428571,60.80952380952381,100.0,66.66666666666666,98.75,100.0,0.0,1.0,35000000.0,172.0
6,Lamine Camara,20.0,CM,Monaco,Ligue 1,2054,76.8,68.0,100.0,66.66666666666666,100.0,92.0,-3.0,1.0,40000000.0,174.0
7,Andrey Santos,20.0,CM,Strasbourg,Ligue 1,2855,76.77857142857144,61.2857142857143,100.0,66.66666666666666,100.0,92.0,0.0,1.0,40000000.0,180.0
8,Lucas Bergvall,18.0,CM,Tottenham,Premier League,1212,76.49285714285715,63.80952380952381,100.0,80.0,71.85714285714286,100.0,0.0,1.0,35000000.0,187.0
9,Gavi,19.0,CM,Barcelona,La Liga,1085,75.84107142857144,67.42857142857144,100.0,73.33333333333334,67.32142857142857,94.0,0.0,1.0,30000000.0,173.0
10,Mateus Fernandes,20.0,CM,Southampton,Premier League,2909,75.8,57.333333333333336,100.0,66.66666666666666,100.0,100.0,0.0,1.0,50000000.0,180.0
