rank,player_name,age,standard_position,team,league,minutes,total_score,core_performance,behavior_score,age_score,reliability_score,league_score,risk_penalty,data_completeness,market_value,height
1,Lamine Yamal,17.0,Winger,Barcelona,La Liga,2856,91.68915662650603,87.30923694779116,100.0,86.66666666666667,100.0,94.0,0.0,1.0,200000000.0,183.0
2,Bradley Barcola,21.0,Winger,Paris S-G,Ligue 1,2181,87.69698795180723,87.77108433734941,100.0,60.0,100.0,92.0,0.0,1.0,70000000.0,187.0
3,Désiré Doué,19.0,Winger,Paris S-G,Ligue 1,1730,86.93128227194494,84.8393574297189,100.0,73.33333333333334,90.35714285714286,92.0,0.0,1.0,120000000.0,181.0
4,Sávio,20.0,Winger,Manchester City,Premier League,1766,85.48739242685025,81.64658634538152,100.0,66.66666666666666,91.64285714285714,100.0,0.0,1.0,200000.0,173.0
5,Nicolás Paz,19.0,Winger,Como,Serie A,2687,84.10481927710845,74.8995983935743,100.0,73.33333333333334,100.0,94.0,0.0,1.0,400000.0,180.0
6,Alejandro Garnacho,20.0,Winger,Manchester Utd,Premier League,2199,83.65963855421687,74.7991967871486,100.0,66.66666666666666,100.0,100.0,0.0,1.0,28000000.0,180.0
7,Eliesse Ben Seghir,19.0,Winger,Monaco,Ligue 1,1750,83.11673838209983,76.12449799196786,100.0,73.33333333333334,91.07142857142857,92.0,0.0,1.0,20000000.0,178.0
8,Jamie Gittens,19.0,Winger,Dortmund,Bundesliga,1776,83.09397590361446,75.5421686746988,100.0,73.33333333333334,92.0,93.0,0.0,1.0,30000000.0,178.0
9,Yankuba Minteh,20.0,Winger,Brighton,Premier League,1838,81.5447934595525,72.0281124497992,100.0,66.66666666666666,94.21428571428571,100.0,0.0,1.0,45000000.0,180.0
10,Matìas Soulé,21.0,Winger,Roma,Serie A,1781,80.90449655765921,74.83935742971887,100.0,60.0,92.17857142857142,94.0,0.0,1.0,35000000.0,182.0
