rank,player_name,age,standard_position,team,league,minutes,total_score,core_performance,behavior_score,age_score,reliability_score,league_score,risk_penalty,data_completeness,market_value,height
1,Lamine Yamal,17.0,Winger,Barcelona,La Liga,2856,91.68915662650603,87.30923694779116,100.0,86.66666666666667,100.0,94.0,0.0,1.0,200000000.0,183.0
2,Rayan Cherki,20.0,AM,Lyon,Ligue 1,2041,88.66153846153847,87.69230769230771,100.0,66.66666666666666,100.0,92.0,0.0,1.0,90000000.0,177.0
3,Bradley Barcola,21.0,Winger,Paris S-G,Ligue 1,2181,87.69698795180723,87.77108433734941,100.0,60.0,100.0,92.0,0.0,1.0,70000000.0,187.0
4,Florian Wirtz,21.0,AM,Leverkusen,Bundesliga,2351,87.35769230769232,86.79487179487181,100.0,60.0,100.0,93.0,0.0,1.0,100000000.0,177.0
5,Désiré Doué,19.0,Winger,Paris S-G,Ligue 1,1730,86.93128227194494,84.8393574297189,100.0,73.33333333333334,90.35714285714286,92.0,0.0,1.0,120000000.0,181.0
6,Sávio,20.0,Winger,Manchester City,Premier League,1766,85.48739242685025,81.64658634538152,100.0,66.66666666666666,91.64285714285714,100.0,0.0,1.0,200000.0,173.0
7,Nicolás Paz,19.0,Winger,Como,Serie A,2687,84.10481927710845,74.8995983935743,100.0,73.33333333333334,100.0,94.0,0.0,1.0,400000.0,180.0
8,João Neves,19.0,CM,Paris S-G,Ligue 1,1844,83.82142857142857,76.57142857142857,100.0,73.33333333333334,94.42857142857143,92.0,0.0,1.0,140000000.0,171.0
9,Alejandro Garnacho,20.0,Winger,Manchester Utd,Premier League,2199,83.65963855421687,74.7991967871486,100.0,66.66666666666666,100.0,100.0,0.0,1.0,28000000.0,180.0
10,Xavi Simons,21.0,AM,RB Leipzig,Bundesliga,2150,83.34807692307693,77.8846153846154,100.0,60.0,100.0,93.0,0.0,1.0,40000000.0,179.0
11,Arda Güler,19.0,AM,Real Madrid,La Liga,1250,83.33406593406595,82.11538461538463,100.0,73.33333333333334,73.21428571428572,94.0,0.0,1.0,90000000.0,175.0
12,Eliesse Ben Seghir,19.0,Winger,Monaco,Ligue 1,1750,83.11673838209983,76.12449799196786,100.0,73.33333333333334,91.07142857142857,92.0,0.0,1.0,20000000.0,178.0
13,Jamie Gittens,19.0,Winger,Dortmund,Bundesliga,1776,83.09397590361446,75.5421686746988,100.0,73.33333333333334,92.0,93.0,0.0,1.0,30000000.0,178.0
14,Jamal Musiala,21.0,AM,Bayern Munich,Bundesliga,1798,82.35247252747253,78.0769230769231,100.0,60.0,92.78571428571428,93.0,0.0,1.0,100000000.0,184.0
15,Pedri,21.0,CM,Barcelona,La Liga,2879,81.67857142857143,73.95238095238095,100.0,60.0,100.0,94.0,0.0,1.0,150000000.0,174.0
16,Tom Bischof,19.0,CM,Hoffenheim,Bundesliga,2559,81.56428571428572,69.47619047619048,100.0,73.33333333333334,100.0,93.0,0.0,1.0,40000000.0,176.0
17,Yankuba Minteh,20.0,Winger,Brighton,Premier League,1838,81.5447934595525,72.0281124497992,100.0,66.66666666666666,94.21428571428571,100.0,0.0,1.0,45000000.0,180.0
18,Warren Zaïre-Emery,18.0,CM,Paris S-G,Ligue 1,2050,81.2,66.66666666666667,100.0,80.0,100.0,92.0,0.0,1.0,80000000.0,176.0
19,Matìas Soulé,21.0,Winger,Roma,Serie A,1781,80.90449655765921,74.83935742971887,100.0,60.0,92.17857142857142,94.0,0.0,1.0,35000000.0,182.0
20,Kenan Yıldız,19.0,Winger,Juventus,Serie A,2402,80.10180722891567,72.6706827309237,100.0,73.33333333333334,100.0,94.0,-3.0,1.0,75000000.0,187.0
